CustomerID,Name,Gender,Age
1,James,Male,34
2,Patricia,Female,26
3,Michael,Male,50
4,Robert,Male,37
5,John,Male,30
6,Jennifer,Female,45
7,William,Male,46
8,David,Male,30
9,Richard,Male,63
10,Linda,Female,52
11,Joseph,Male,23
12,Thomas,Male,35
13,Christopher,Male,22
14,Charles,Male,64
15,Elizabeth,Female,42
16,Daniel,Male,19
17,Barbara,Female,27
18,Susan,Female,47
19,Jessica,Female,62
20,Matthew,Male,22
21,Karen,Female,50
22,Anthony,Male,18
23,Sarah,Female,35
24,Lisa,Female,49
25,Nancy,Female,64
26,Sandra,Female,28
27,Betty,Female,38
28,Ashley,Female,43
29,Kimberly,Female,42
30,Margaret,Female,39
31,Mark,Male,44
32,Steven,Male,30
33,Donna,Female,50
34,Michelle,Female,51
35,Carol,Female,58
36,Andrew,Male,52
37,Melissa,Female,18
38,Paul,Male,38
39,Kevin,Male,23
40,Brian,Male,45
41,George,Male,34
42,Jason,Male,22
43,Rebecca,Female,48
44,Sharon,Female,22
45,Laura,Female,55
46,Amy,Female,20
47,Angela,Female,40
48,Edward,Male,54
49,Emma,Female,54
50,Brenda,Female,27
