CustomerID,Name,Gender,Age
1,James,M,34
2,Patricia,F,26
3,Michael,M,50
4,Robert,M,37
5,John,M,30
6,Jennifer,F,45
7,William,M,46
8,David,M,30
9,Richard,M,63
10,Linda,F,52
11,Joseph,M,23
12,Thomas,M,35
13,Christopher,M,22
14,Charles,M,64
15,Elizabeth,F,42
16,Daniel,M,19
17,Barbara,F,27
18,Susan,F,47
19,Jessica,F,62
20,Matthew,M,22
21,Karen,F,50
22,Anthony,M,18
23,Sarah,F,35
24,Lisa,F,49
25,Nancy,F,64
26,Sandra,F,28
27,Betty,F,38
28,Ashley,F,43
29,Kimberly,F,42
30,Margaret,F,39
31,Mark,M,44
32,Steven,M,30
33,Donna,F,50
34,Michelle,F,51
35,Carol,F,58
36,Andrew,M,52
37,Melissa,F,18
38,Paul,M,38
39,Kevin,M,23
40,Brian,M,45
41,George,M,34
42,Jason,M,22
43,Rebecca,F,48
44,Sharon,F,22
45,Laura,F,55
46,Amy,F,20
47,Angela,F,40
48,Edward,M,54
49,Emma,F,54
50,Brenda,F,27
